,vacancies,company,post_time,job,location,month_salary,year_salary,year-end_salary,bonus,dividends,other,mood,frequency_overtime,average_day,seniority,total_seniority,work_content,advise_content
3204,針車員,寶成工業股份有限公司,2023.02.28,全職,彰化,,,,,,,想換工作了,準時上下班,8 hr,1,1,公司的員工手冊是滿滿...,針車員大多是婆婆媽媽...
3205,化工工程師,寶成工業股份有限公司,2023.02.23,全職,臺北,80-81k,1060-1070k,75k,2500,25k,3500,有苦說不出,很少加班,8 hr,6,6,"駐東南亞，基本代工大品牌運動鞋，主要負責底部品(中、大底)的開發打樣和對應開發客人，同時服導量產上線和處理量產問題。

宿舍在廠區內，有人洗衣掃地，三餐尚可，基本如104上說的。

現在基本跟台灣紅字休假天數一致，特休符合台灣勞基法，每年6張來回台灣機票，未使用完充公不能換錢，注意越南所得稅金需自己繳(從每個月美金薪資自動扣除)，由公司代繳。","內部派系辦公室政治嚴重，組織肥大效率十分不佳，做人比做事重要，向上管理能力吃重。

如果是理工科畢的有志青年建議勿入邪(鞋)途，待在台灣走電子或半導體未來性遠比這產業好。"
3206,PMQA,寶成工業股份有限公司,2023.02.17,全職,臺北,71-72k,950-960k,100k,,,,想換工作了,賣肝拼經濟,12 hr,2,2,"(印尼廠)外派於印尼工作，主要處理品牌客戶與工廠之間的各種品質相關案件處理。
工廠無冷氣(辦公室要看是寫字樓裡還是現場，現場的幾乎沒有冷氣)
上班時間：07:00～通常要18:00以後才能下班，回宿舍後也經常需要寫品質報告。週六上半天班。
每年六趟返台機票","工時非常長，返台期間也有可能會需要處理公事，無加班費。
若非常介意工時的人需要審慎考慮。
公司餐廳提供三餐，食宿都不用額外付費。"
3207,開發、技轉,寶成工業股份有限公司,2023.02.17,全職,臺北,66-67k,800-810k,12k,3000,,,還算愉快,偶爾加班,9 hr,3,3,"這是我當時還是新鮮人的薪水（底薪30,000+海外津貼等等），分紅的部分如果是在大品牌的鞋廠景氣好的花一個月約可以拿到三千以上。
所有品牌鞋廠跟海外幹部宿舍跟餐廳都在一個地方，很像一個工業區的感覺。
工作內容只要肯學沒什麼大問題，主要是跟（尤其是對岸的）同事/下屬之間的溝通要配合彼此個性。",如果你想體驗不一樣的文化跟生活，可以試試看外派，但傳產有些陋習要先了解。剛畢業來到這裡一開始蠻不適應的，主要是在於很多其他的海外幹部顛覆三觀，還有應酬文化很深，如果不喜歡被灌酒或跟主管用酒博感情，要做好坐冷板凳的準備。
3208,技術襄理,寶成工業股份有限公司,2023.02.11,全職,臺北,100-101k,1350-1360k,150k,,,,有苦說不出,賣肝拼經濟,10 hr,5,13,"海外越南工作，主要工作鞋廠的IE主管，工作環境就是在現場，要能忍受酷熱的越南夏天，福利的部分是還不錯，但就是副協理以上的大主管，部分廠區會比較硬，要能忍受被屌還有超多報告PPT要做。
是住宿的地方還不錯，餐廳吃得還可以，有清潔阿姨會幫忙打掃房間以及洗衣服。",我覺得如果是新人要來寶成歷練是可以的，畢竟寶成是大公司，訓練鞋業的資訊與技術是蠻健全的，相較於如果要去其他鞋業的小廠，但公司文化可能要先能習慣。
3209,文管人員,寶成工業股份有限公司,2023.02.06,全職,彰化,,,,,,,還算愉快,很少加班,8 hr,3,3,位於彰化，薪水不高所...,穩定無壓力的工作，但...
3210,副課長,寶成工業股份有限公司,2023.01.16,全職,臺北,75-76k,900-910k,,,,,還算愉快,很少加班,8 hr,1,1,"外派寶成越南的公司, 公司提供單人宿舍(有雙人床, 小台電視, 書桌椅和衣櫃) 其餘東西需自行採購, 譬如說冰箱, 大台電視機, 鍋碗瓢盆有喜歡自己煮食物來吃的
公司提供三餐, 個人是覺得伙食不錯也豐盛, 但見仁見智, 可以讓你吃飽的; 台幹全是自助餐
阿姨會幫忙打掃房間1.3.5打掃, 也會幫忙洗衣服","福利制度健全的公司, 不會讓你大富大貴, 但也不會讓你餓著; 基本上想要近來做到退休都沒有問題的
周圍好多人隨便一問年資就是十年, 八年起跳的
喜歡穩定的人可以做到退休, 喜歡嘗試挑戰與新事物的也是可以進來工作看看自己適不適合"
3211,大陸四職等小主管,寶成工業股份有限公司,2023.01.10,全職,臺北,68-69k,930-940k,120k,,,,平常心,常常加班,10 hr,1,3,"大陸東莞工廠有不少駐廠客人，只要是開發或採購或品管都會很長要在下班後喝酒應酬客人，約2周一次，外加幾乎每個月都會有評鑑客人或外國人到訪，所以可以說是每周晚上幾乎都有應酬場合。這邊很在乎下班時間過1小時內就走的情況(感覺你很閒)，所以下班最好自己默默走，留在大陸的8成都是4階以上的主管，其中一半以上都是經理等級所以自己禮數要做好，有些人很好聊不代表會成為朋友。

公司內部制度是很不錯的，系統面資料輸入面，但非常偏向客人，例如本來中午午休90分鐘，被客人反應後剩下1HR，因為客人想早點下班。亦或是客人說要新增一個excel追蹤表就會在開會中被迫同意，但裡面部分內容可能在每周和客戶開會的定期報表裡就有。",大陸只剩兩間工廠都做ADIDAS，住宿非常不錯約8坪乾濕分離，洗衣共用，專人打掃，叫外賣也方便，但是遠一點加錢的比較好吃。一樣，海外生活麻煩的就是台籍自己人，這邊普遍年齡偏高約35左右，所以要交朋友要跳脫工作圈，因為好聊的人不代表可以私聊
3212,資材主管,寶成工業股份有限公司,2023.04.23,全職,臺北,65-66k,910-920k,130k,,,,有苦說不出,常常加班,10 hr,2,2,"官僚派系鬥爭嚴重, 處理人的問題比處理事情困難,有關係就是沒關係,沒關係就是有關係. 採購工作內容反倒不是太大挑戰,因為直接擔任主管,又身處越南,語言溝通變成相對挑戰的事情. 周一至周六都上班,且較少國定假期,習慣在台灣雙休的,不建議過來.","傳統產業學習與人溝通協商是最重要的事情. 當然本職工作技能還是需要持續鍛鍊, 海外工作歷練除了日常工作,如何與不同文化背景的同仁也是學習的重點."
3213,環安衛組長,寶成工業股份有限公司,2023.04.14,全職,臺北,33-34k,830-840k,66k,2000,10k,360k,平常心,常常加班,10 hr,3,3,"外派責任制 跟著工廠出缺勤
考績廠長打 工作包山包海
對內外稽核很多 也有一個月兩次大稽核
環保局安堅嚴查 行政中心也會固定稽核
教育訓練完善 升遷看考績","外派來說52休8 機票六張可出國也可回家
以前沒有特休現在有 外派加給依地區而異
越南很差 但伙食很好 要選要選印尼 假多
自己煮vila 越南課級以上才一人一間
大陸在縮廠了 可能會被調動別國"
3214,開發業務,寶成工業股份有限公司,2023.04.02,全職,臺北,65-66k,940-950k,100k,60k,,,還算愉快,常常加班,11 hr,5,7,"1.如果是初入鞋業的人可以在寶成學到相對完整的製程知識，畢竟公司花了很多成本在配合品牌的策略。
2.開發業務工作忙碌，白天內部開會統整型體的技術問題點、掌握開發轉量產進度、掌控鞋型材料測試品質等等，下班前則是將進度回覆給客戶。","擔任開發業務可以學到很多 時間壓力也相對高 算是很有成就感。

長期外派工作也是要考慮家庭照顧 朋友疏離的問題 唯一的優點是存錢比較快 吃住成本公司都吸收負擔"
3215,報價人員,寶成工業股份有限公司,2023.04.02,全職,彰化,,,,,,,想換工作了,偶爾加班,8 hr,3,4,"工作環境：
辦公室環...",若想找一份穩定工作的...
3216,管理師,寶成工業股份有限公司,2023.03.26,全職,臺中,,,,,,,還算愉快,很少加班,9 hr,1,1,還可以 不常加班，內...,公司制度完善，升遷管...
3217,品保課長,寶成工業股份有限公司,2023.03.17,全職,臺北,80-81k,1060-1070k,100k,,,,有苦說不出,偶爾加班,9 hr,3,10,"東南亞鞋子工廠
海外公務員
忍受長期在窮鄉僻壤生活
同事多為大陸和印尼人
少部分的台灣同事而且離職率很高
鞋子品質有好有壞
品保最終目標就是把鞋子全部出貨","年輕的大學碩士畢業生
如果在台灣沒什麼機會
可以考慮出國拼個五年再打算
有些人適應良好
長期在海外定居了
大部分人則是拼個幾年
再出國進修或跳槽吧"
3218,日文品保,寶成工業股份有限公司,2023.03.13,全職,臺北,70-71k,840-850k,,,,,想換工作了,賣肝拼經濟,12 hr,2,9,"日文品保(駐印尼)對應日本客人的品保，客人駐廠

先講好的 : 
公司環境吃住都很不錯，周末會派車載去比較熱鬧的市區
薪資部分整體算高，但沒有加班費

待改善的 : 
加班加到死","畢竟是傳產中的傳產
依照這幾年的經驗是流動率很高
有外語專長的也要看看自己的身體能不能承受高工時
傳產就是用生命在換錢
年輕一點可以嘗試看看"
3219,針車員,寶成工業股份有限公司,2023.02.28,全職,彰化,,,,,,,想換工作了,準時上下班,8 hr,1,1,公司的員工手冊是滿滿...,針車員大多是婆婆媽媽...
3220,化工工程師,寶成工業股份有限公司,2023.02.23,全職,臺北,80-81k,1060-1070k,75k,2500,25k,3500,有苦說不出,很少加班,8 hr,6,6,"駐東南亞，基本代工大品牌運動鞋，主要負責底部品(中、大底)的開發打樣和對應開發客人，同時服導量產上線和處理量產問題。

宿舍在廠區內，有人洗衣掃地，三餐尚可，基本如104上說的。

現在基本跟台灣紅字休假天數一致，特休符合台灣勞基法，每年6張來回台灣機票，未使用完充公不能換錢，注意越南所得稅金需自己繳(從每個月美金薪資自動扣除)，由公司代繳。","內部派系辦公室政治嚴重，組織肥大效率十分不佳，做人比做事重要，向上管理能力吃重。

如果是理工科畢的有志青年建議勿入邪(鞋)途，待在台灣走電子或半導體未來性遠比這產業好。"
3221,PMQA,寶成工業股份有限公司,2023.02.17,全職,臺北,71-72k,950-960k,100k,,,,想換工作了,賣肝拼經濟,12 hr,2,2,"(印尼廠)外派於印尼工作，主要處理品牌客戶與工廠之間的各種品質相關案件處理。
工廠無冷氣(辦公室要看是寫字樓裡還是現場，現場的幾乎沒有冷氣)
上班時間：07:00～通常要18:00以後才能下班，回宿舍後也經常需要寫品質報告。週六上半天班。
每年六趟返台機票","工時非常長，返台期間也有可能會需要處理公事，無加班費。
若非常介意工時的人需要審慎考慮。
公司餐廳提供三餐，食宿都不用額外付費。"
3222,開發、技轉,寶成工業股份有限公司,2023.02.17,全職,臺北,66-67k,800-810k,12k,3000,,,還算愉快,偶爾加班,9 hr,3,3,"這是我當時還是新鮮人的薪水（底薪30,000+海外津貼等等），分紅的部分如果是在大品牌的鞋廠景氣好的花一個月約可以拿到三千以上。
所有品牌鞋廠跟海外幹部宿舍跟餐廳都在一個地方，很像一個工業區的感覺。
工作內容只要肯學沒什麼大問題，主要是跟（尤其是對岸的）同事/下屬之間的溝通要配合彼此個性。",如果你想體驗不一樣的文化跟生活，可以試試看外派，但傳產有些陋習要先了解。剛畢業來到這裡一開始蠻不適應的，主要是在於很多其他的海外幹部顛覆三觀，還有應酬文化很深，如果不喜歡被灌酒或跟主管用酒博感情，要做好坐冷板凳的準備。
3223,技術襄理,寶成工業股份有限公司,2023.02.11,全職,臺北,100-101k,1350-1360k,150k,,,,有苦說不出,賣肝拼經濟,10 hr,5,13,"海外越南工作，主要工作鞋廠的IE主管，工作環境就是在現場，要能忍受酷熱的越南夏天，福利的部分是還不錯，但就是副協理以上的大主管，部分廠區會比較硬，要能忍受被屌還有超多報告PPT要做。
是住宿的地方還不錯，餐廳吃得還可以，有清潔阿姨會幫忙打掃房間以及洗衣服。",我覺得如果是新人要來寶成歷練是可以的，畢竟寶成是大公司，訓練鞋業的資訊與技術是蠻健全的，相較於如果要去其他鞋業的小廠，但公司文化可能要先能習慣。
3224,文管人員,寶成工業股份有限公司,2023.02.06,全職,彰化,,,,,,,還算愉快,很少加班,8 hr,3,3,位於彰化，薪水不高所...,穩定無壓力的工作，但...
3225,副課長,寶成工業股份有限公司,2023.01.16,全職,臺北,75-76k,900-910k,,,,,還算愉快,很少加班,8 hr,1,1,"外派寶成越南的公司, 公司提供單人宿舍(有雙人床, 小台電視, 書桌椅和衣櫃) 其餘東西需自行採購, 譬如說冰箱, 大台電視機, 鍋碗瓢盆有喜歡自己煮食物來吃的
公司提供三餐, 個人是覺得伙食不錯也豐盛, 但見仁見智, 可以讓你吃飽的; 台幹全是自助餐
阿姨會幫忙打掃房間1.3.5打掃, 也會幫忙洗衣服","福利制度健全的公司, 不會讓你大富大貴, 但也不會讓你餓著; 基本上想要近來做到退休都沒有問題的
周圍好多人隨便一問年資就是十年, 八年起跳的
喜歡穩定的人可以做到退休, 喜歡嘗試挑戰與新事物的也是可以進來工作看看自己適不適合"
3226,大陸四職等小主管,寶成工業股份有限公司,2023.01.10,全職,臺北,68-69k,930-940k,120k,,,,平常心,常常加班,10 hr,1,3,"大陸東莞工廠有不少駐廠客人，只要是開發或採購或品管都會很長要在下班後喝酒應酬客人，約2周一次，外加幾乎每個月都會有評鑑客人或外國人到訪，所以可以說是每周晚上幾乎都有應酬場合。這邊很在乎下班時間過1小時內就走的情況(感覺你很閒)，所以下班最好自己默默走，留在大陸的8成都是4階以上的主管，其中一半以上都是經理等級所以自己禮數要做好，有些人很好聊不代表會成為朋友。

公司內部制度是很不錯的，系統面資料輸入面，但非常偏向客人，例如本來中午午休90分鐘，被客人反應後剩下1HR，因為客人想早點下班。亦或是客人說要新增一個excel追蹤表就會在開會中被迫同意，但裡面部分內容可能在每周和客戶開會的定期報表裡就有。",大陸只剩兩間工廠都做ADIDAS，住宿非常不錯約8坪乾濕分離，洗衣共用，專人打掃，叫外賣也方便，但是遠一點加錢的比較好吃。一樣，海外生活麻煩的就是台籍自己人，這邊普遍年齡偏高約35左右，所以要交朋友要跳脫工作圈，因為好聊的人不代表可以私聊
3227,資材主管,寶成工業股份有限公司,2023.04.23,全職,臺北,65-66k,910-920k,130k,,,,有苦說不出,常常加班,10 hr,2,2,"官僚派系鬥爭嚴重, 處理人的問題比處理事情困難,有關係就是沒關係,沒關係就是有關係. 採購工作內容反倒不是太大挑戰,因為直接擔任主管,又身處越南,語言溝通變成相對挑戰的事情. 周一至周六都上班,且較少國定假期,習慣在台灣雙休的,不建議過來.","傳統產業學習與人溝通協商是最重要的事情. 當然本職工作技能還是需要持續鍛鍊, 海外工作歷練除了日常工作,如何與不同文化背景的同仁也是學習的重點."
3228,環安衛組長,寶成工業股份有限公司,2023.04.14,全職,臺北,33-34k,830-840k,66k,2000,10k,360k,平常心,常常加班,10 hr,3,3,"外派責任制 跟著工廠出缺勤
考績廠長打 工作包山包海
對內外稽核很多 也有一個月兩次大稽核
環保局安堅嚴查 行政中心也會固定稽核
教育訓練完善 升遷看考績","外派來說52休8 機票六張可出國也可回家
以前沒有特休現在有 外派加給依地區而異
越南很差 但伙食很好 要選要選印尼 假多
自己煮vila 越南課級以上才一人一間
大陸在縮廠了 可能會被調動別國"
3229,開發業務,寶成工業股份有限公司,2023.04.02,全職,臺北,65-66k,940-950k,100k,60k,,,還算愉快,常常加班,11 hr,5,7,"1.如果是初入鞋業的人可以在寶成學到相對完整的製程知識，畢竟公司花了很多成本在配合品牌的策略。
2.開發業務工作忙碌，白天內部開會統整型體的技術問題點、掌握開發轉量產進度、掌控鞋型材料測試品質等等，下班前則是將進度回覆給客戶。","擔任開發業務可以學到很多 時間壓力也相對高 算是很有成就感。

長期外派工作也是要考慮家庭照顧 朋友疏離的問題 唯一的優點是存錢比較快 吃住成本公司都吸收負擔"
3230,報價人員,寶成工業股份有限公司,2023.04.02,全職,彰化,,,,,,,想換工作了,偶爾加班,8 hr,3,4,"工作環境：
辦公室環...",若想找一份穩定工作的...
3231,管理師,寶成工業股份有限公司,2023.03.26,全職,臺中,,,,,,,還算愉快,很少加班,9 hr,1,1,還可以 不常加班，內...,公司制度完善，升遷管...
3232,品保課長,寶成工業股份有限公司,2023.03.17,全職,臺北,80-81k,1060-1070k,100k,,,,有苦說不出,偶爾加班,9 hr,3,10,"東南亞鞋子工廠
海外公務員
忍受長期在窮鄉僻壤生活
同事多為大陸和印尼人
少部分的台灣同事而且離職率很高
鞋子品質有好有壞
品保最終目標就是把鞋子全部出貨","年輕的大學碩士畢業生
如果在台灣沒什麼機會
可以考慮出國拼個五年再打算
有些人適應良好
長期在海外定居了
大部分人則是拼個幾年
再出國進修或跳槽吧"
3233,日文品保,寶成工業股份有限公司,2023.03.13,全職,臺北,70-71k,840-850k,,,,,想換工作了,賣肝拼經濟,12 hr,2,9,"日文品保(駐印尼)對應日本客人的品保，客人駐廠

先講好的 : 
公司環境吃住都很不錯，周末會派車載去比較熱鬧的市區
薪資部分整體算高，但沒有加班費

待改善的 : 
加班加到死","畢竟是傳產中的傳產
依照這幾年的經驗是流動率很高
有外語專長的也要看看自己的身體能不能承受高工時
傳產就是用生命在換錢
年輕一點可以嘗試看看"
3234,針車員,寶成工業股份有限公司,2023.02.28,全職,彰化,,,,,,,想換工作了,準時上下班,8 hr,1,1,公司的員工手冊是滿滿...,針車員大多是婆婆媽媽...
3235,化工工程師,寶成工業股份有限公司,2023.02.23,全職,臺北,80-81k,1060-1070k,75k,2500,25k,3500,有苦說不出,很少加班,8 hr,6,6,"駐東南亞，基本代工大品牌運動鞋，主要負責底部品(中、大底)的開發打樣和對應開發客人，同時服導量產上線和處理量產問題。

宿舍在廠區內，有人洗衣掃地，三餐尚可，基本如104上說的。

現在基本跟台灣紅字休假天數一致，特休符合台灣勞基法，每年6張來回台灣機票，未使用完充公不能換錢，注意越南所得稅金需自己繳(從每個月美金薪資自動扣除)，由公司代繳。","內部派系辦公室政治嚴重，組織肥大效率十分不佳，做人比做事重要，向上管理能力吃重。

如果是理工科畢的有志青年建議勿入邪(鞋)途，待在台灣走電子或半導體未來性遠比這產業好。"
3236,PMQA,寶成工業股份有限公司,2023.02.17,全職,臺北,71-72k,950-960k,100k,,,,想換工作了,賣肝拼經濟,12 hr,2,2,"(印尼廠)外派於印尼工作，主要處理品牌客戶與工廠之間的各種品質相關案件處理。
工廠無冷氣(辦公室要看是寫字樓裡還是現場，現場的幾乎沒有冷氣)
上班時間：07:00～通常要18:00以後才能下班，回宿舍後也經常需要寫品質報告。週六上半天班。
每年六趟返台機票","工時非常長，返台期間也有可能會需要處理公事，無加班費。
若非常介意工時的人需要審慎考慮。
公司餐廳提供三餐，食宿都不用額外付費。"
3237,開發、技轉,寶成工業股份有限公司,2023.02.17,全職,臺北,66-67k,800-810k,12k,3000,,,還算愉快,偶爾加班,9 hr,3,3,"這是我當時還是新鮮人的薪水（底薪30,000+海外津貼等等），分紅的部分如果是在大品牌的鞋廠景氣好的花一個月約可以拿到三千以上。
所有品牌鞋廠跟海外幹部宿舍跟餐廳都在一個地方，很像一個工業區的感覺。
工作內容只要肯學沒什麼大問題，主要是跟（尤其是對岸的）同事/下屬之間的溝通要配合彼此個性。",如果你想體驗不一樣的文化跟生活，可以試試看外派，但傳產有些陋習要先了解。剛畢業來到這裡一開始蠻不適應的，主要是在於很多其他的海外幹部顛覆三觀，還有應酬文化很深，如果不喜歡被灌酒或跟主管用酒博感情，要做好坐冷板凳的準備。
3238,技術襄理,寶成工業股份有限公司,2023.02.11,全職,臺北,100-101k,1350-1360k,150k,,,,有苦說不出,賣肝拼經濟,10 hr,5,13,"海外越南工作，主要工作鞋廠的IE主管，工作環境就是在現場，要能忍受酷熱的越南夏天，福利的部分是還不錯，但就是副協理以上的大主管，部分廠區會比較硬，要能忍受被屌還有超多報告PPT要做。
是住宿的地方還不錯，餐廳吃得還可以，有清潔阿姨會幫忙打掃房間以及洗衣服。",我覺得如果是新人要來寶成歷練是可以的，畢竟寶成是大公司，訓練鞋業的資訊與技術是蠻健全的，相較於如果要去其他鞋業的小廠，但公司文化可能要先能習慣。
3239,文管人員,寶成工業股份有限公司,2023.02.06,全職,彰化,,,,,,,還算愉快,很少加班,8 hr,3,3,位於彰化，薪水不高所...,穩定無壓力的工作，但...
3240,副課長,寶成工業股份有限公司,2023.01.16,全職,臺北,75-76k,900-910k,,,,,還算愉快,很少加班,8 hr,1,1,"外派寶成越南的公司, 公司提供單人宿舍(有雙人床, 小台電視, 書桌椅和衣櫃) 其餘東西需自行採購, 譬如說冰箱, 大台電視機, 鍋碗瓢盆有喜歡自己煮食物來吃的
公司提供三餐, 個人是覺得伙食不錯也豐盛, 但見仁見智, 可以讓你吃飽的; 台幹全是自助餐
阿姨會幫忙打掃房間1.3.5打掃, 也會幫忙洗衣服","福利制度健全的公司, 不會讓你大富大貴, 但也不會讓你餓著; 基本上想要近來做到退休都沒有問題的
周圍好多人隨便一問年資就是十年, 八年起跳的
喜歡穩定的人可以做到退休, 喜歡嘗試挑戰與新事物的也是可以進來工作看看自己適不適合"
3241,大陸四職等小主管,寶成工業股份有限公司,2023.01.10,全職,臺北,68-69k,930-940k,120k,,,,平常心,常常加班,10 hr,1,3,"大陸東莞工廠有不少駐廠客人，只要是開發或採購或品管都會很長要在下班後喝酒應酬客人，約2周一次，外加幾乎每個月都會有評鑑客人或外國人到訪，所以可以說是每周晚上幾乎都有應酬場合。這邊很在乎下班時間過1小時內就走的情況(感覺你很閒)，所以下班最好自己默默走，留在大陸的8成都是4階以上的主管，其中一半以上都是經理等級所以自己禮數要做好，有些人很好聊不代表會成為朋友。

公司內部制度是很不錯的，系統面資料輸入面，但非常偏向客人，例如本來中午午休90分鐘，被客人反應後剩下1HR，因為客人想早點下班。亦或是客人說要新增一個excel追蹤表就會在開會中被迫同意，但裡面部分內容可能在每周和客戶開會的定期報表裡就有。",大陸只剩兩間工廠都做ADIDAS，住宿非常不錯約8坪乾濕分離，洗衣共用，專人打掃，叫外賣也方便，但是遠一點加錢的比較好吃。一樣，海外生活麻煩的就是台籍自己人，這邊普遍年齡偏高約35左右，所以要交朋友要跳脫工作圈，因為好聊的人不代表可以私聊
3242,資材主管,寶成工業股份有限公司,2023.04.23,全職,臺北,65-66k,910-920k,130k,,,,有苦說不出,常常加班,10 hr,2,2,"官僚派系鬥爭嚴重, 處理人的問題比處理事情困難,有關係就是沒關係,沒關係就是有關係. 採購工作內容反倒不是太大挑戰,因為直接擔任主管,又身處越南,語言溝通變成相對挑戰的事情. 周一至周六都上班,且較少國定假期,習慣在台灣雙休的,不建議過來.","傳統產業學習與人溝通協商是最重要的事情. 當然本職工作技能還是需要持續鍛鍊, 海外工作歷練除了日常工作,如何與不同文化背景的同仁也是學習的重點."
3243,環安衛組長,寶成工業股份有限公司,2023.04.14,全職,臺北,33-34k,830-840k,66k,2000,10k,360k,平常心,常常加班,10 hr,3,3,"外派責任制 跟著工廠出缺勤
考績廠長打 工作包山包海
對內外稽核很多 也有一個月兩次大稽核
環保局安堅嚴查 行政中心也會固定稽核
教育訓練完善 升遷看考績","外派來說52休8 機票六張可出國也可回家
以前沒有特休現在有 外派加給依地區而異
越南很差 但伙食很好 要選要選印尼 假多
自己煮vila 越南課級以上才一人一間
大陸在縮廠了 可能會被調動別國"
3244,開發業務,寶成工業股份有限公司,2023.04.02,全職,臺北,65-66k,940-950k,100k,60k,,,還算愉快,常常加班,11 hr,5,7,"1.如果是初入鞋業的人可以在寶成學到相對完整的製程知識，畢竟公司花了很多成本在配合品牌的策略。
2.開發業務工作忙碌，白天內部開會統整型體的技術問題點、掌握開發轉量產進度、掌控鞋型材料測試品質等等，下班前則是將進度回覆給客戶。","擔任開發業務可以學到很多 時間壓力也相對高 算是很有成就感。

長期外派工作也是要考慮家庭照顧 朋友疏離的問題 唯一的優點是存錢比較快 吃住成本公司都吸收負擔"
3245,報價人員,寶成工業股份有限公司,2023.04.02,全職,彰化,,,,,,,想換工作了,偶爾加班,8 hr,3,4,"工作環境：
辦公室環...",若想找一份穩定工作的...
3246,管理師,寶成工業股份有限公司,2023.03.26,全職,臺中,,,,,,,還算愉快,很少加班,9 hr,1,1,還可以 不常加班，內...,公司制度完善，升遷管...
3247,品保課長,寶成工業股份有限公司,2023.03.17,全職,臺北,80-81k,1060-1070k,100k,,,,有苦說不出,偶爾加班,9 hr,3,10,"東南亞鞋子工廠
海外公務員
忍受長期在窮鄉僻壤生活
同事多為大陸和印尼人
少部分的台灣同事而且離職率很高
鞋子品質有好有壞
品保最終目標就是把鞋子全部出貨","年輕的大學碩士畢業生
如果在台灣沒什麼機會
可以考慮出國拼個五年再打算
有些人適應良好
長期在海外定居了
大部分人則是拼個幾年
再出國進修或跳槽吧"
3248,日文品保,寶成工業股份有限公司,2023.03.13,全職,臺北,70-71k,840-850k,,,,,想換工作了,賣肝拼經濟,12 hr,2,9,"日文品保(駐印尼)對應日本客人的品保，客人駐廠

先講好的 : 
公司環境吃住都很不錯，周末會派車載去比較熱鬧的市區
薪資部分整體算高，但沒有加班費

待改善的 : 
加班加到死","畢竟是傳產中的傳產
依照這幾年的經驗是流動率很高
有外語專長的也要看看自己的身體能不能承受高工時
傳產就是用生命在換錢
年輕一點可以嘗試看看"
3249,針車員,寶成工業股份有限公司,2023.02.28,全職,彰化,,,,,,,想換工作了,準時上下班,8 hr,1,1,公司的員工手冊是滿滿...,針車員大多是婆婆媽媽...
3250,化工工程師,寶成工業股份有限公司,2023.02.23,全職,臺北,80-81k,1060-1070k,75k,2500,25k,3500,有苦說不出,很少加班,8 hr,6,6,"駐東南亞，基本代工大品牌運動鞋，主要負責底部品(中、大底)的開發打樣和對應開發客人，同時服導量產上線和處理量產問題。

宿舍在廠區內，有人洗衣掃地，三餐尚可，基本如104上說的。

現在基本跟台灣紅字休假天數一致，特休符合台灣勞基法，每年6張來回台灣機票，未使用完充公不能換錢，注意越南所得稅金需自己繳(從每個月美金薪資自動扣除)，由公司代繳。","內部派系辦公室政治嚴重，組織肥大效率十分不佳，做人比做事重要，向上管理能力吃重。

如果是理工科畢的有志青年建議勿入邪(鞋)途，待在台灣走電子或半導體未來性遠比這產業好。"
3251,PMQA,寶成工業股份有限公司,2023.02.17,全職,臺北,71-72k,950-960k,100k,,,,想換工作了,賣肝拼經濟,12 hr,2,2,"(印尼廠)外派於印尼工作，主要處理品牌客戶與工廠之間的各種品質相關案件處理。
工廠無冷氣(辦公室要看是寫字樓裡還是現場，現場的幾乎沒有冷氣)
上班時間：07:00～通常要18:00以後才能下班，回宿舍後也經常需要寫品質報告。週六上半天班。
每年六趟返台機票","工時非常長，返台期間也有可能會需要處理公事，無加班費。
若非常介意工時的人需要審慎考慮。
公司餐廳提供三餐，食宿都不用額外付費。"
3252,開發、技轉,寶成工業股份有限公司,2023.02.17,全職,臺北,66-67k,800-810k,12k,3000,,,還算愉快,偶爾加班,9 hr,3,3,"這是我當時還是新鮮人的薪水（底薪30,000+海外津貼等等），分紅的部分如果是在大品牌的鞋廠景氣好的花一個月約可以拿到三千以上。
所有品牌鞋廠跟海外幹部宿舍跟餐廳都在一個地方，很像一個工業區的感覺。
工作內容只要肯學沒什麼大問題，主要是跟（尤其是對岸的）同事/下屬之間的溝通要配合彼此個性。",如果你想體驗不一樣的文化跟生活，可以試試看外派，但傳產有些陋習要先了解。剛畢業來到這裡一開始蠻不適應的，主要是在於很多其他的海外幹部顛覆三觀，還有應酬文化很深，如果不喜歡被灌酒或跟主管用酒博感情，要做好坐冷板凳的準備。
3253,技術襄理,寶成工業股份有限公司,2023.02.11,全職,臺北,100-101k,1350-1360k,150k,,,,有苦說不出,賣肝拼經濟,10 hr,5,13,"海外越南工作，主要工作鞋廠的IE主管，工作環境就是在現場，要能忍受酷熱的越南夏天，福利的部分是還不錯，但就是副協理以上的大主管，部分廠區會比較硬，要能忍受被屌還有超多報告PPT要做。
是住宿的地方還不錯，餐廳吃得還可以，有清潔阿姨會幫忙打掃房間以及洗衣服。",我覺得如果是新人要來寶成歷練是可以的，畢竟寶成是大公司，訓練鞋業的資訊與技術是蠻健全的，相較於如果要去其他鞋業的小廠，但公司文化可能要先能習慣。
3254,文管人員,寶成工業股份有限公司,2023.02.06,全職,彰化,,,,,,,還算愉快,很少加班,8 hr,3,3,位於彰化，薪水不高所...,穩定無壓力的工作，但...
